course_id,course_name,platform,skills,level,duration,url
C001,Python,Kaggle Learn,"Python, Basic Python, Programming Fundamentals, Problem Solving",Beginner,5 hours,https://www.kaggle.com/learn/python
C002,Intro to Programming,Kaggle Learn,"Programming Fundamentals, Problem Solving, DSA",Beginner,5 hours,https://www.kaggle.com/learn/intro-to-programming
C003,Scientific Computing with Python,freeCodeCamp,"Python, Programming Fundamentals, Data Structures, Debugging",Beginner,300 hours,https://www.freecodecamp.org/learn/scientific-computing-with-python/
C004,JavaScript Algorithms and Data Structures,freeCodeCamp,"JavaScript, Data Structures, DSA, OOP, Problem Solving",Beginner,300 hours,https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures/
C005,Data Structures and Algorithms Specialization,Coursera,"Data Structures, DSA, Problem Solving, Any of C++/Java/Python, Any of Java/Python/C++",Intermediate,8 months,https://www.coursera.org/specializations/data-structures-algorithms
C006,Object Oriented Programming in Java,Coursera,"Java, OOP, Core Java, Data Structures",Beginner,4 months,https://www.coursera.org/specializations/object-oriented-programming
C007,Foundational C# with Microsoft,freeCodeCamp,"C#, OOP, Programming Fundamentals, Debugging",Beginner,35 hours,https://www.freecodecamp.org/learn/foundational-c-sharp-with-microsoft/
C008,C++ Programming Topic Hub,Udemy,"C++11/14/17, STL, Multithreading, CMake, Debugging (GDB)",Intermediate,Varies,https://www.udemy.com/topic/c-plus-plus/
C009,Version Control with Git,Coursera,"Git, Version Control, Collaboration",Beginner,13 hours,https://www.coursera.org/learn/version-control-with-git
C010,Spring Boot Guides,Spring.io,"Spring Boot, Spring, Java, REST APIs, Microservices, Maven",Intermediate,Self-paced,https://spring.io/guides
C011,Building Scalable Java Microservices,Coursera,"Java, Microservices, Spring Boot, REST APIs, Cloud Fundamentals",Intermediate,15 hours,https://www.coursera.org/learn/google-cloud-java-spring
C012,Java Persistence with Hibernate & JPA,Udemy,"Hibernate, Java, SQL, Entity Mapping, Maven",Intermediate,Varies,https://www.udemy.com/topic/hibernate/
C013,Unit Testing with JUnit,Udemy,"JUnit, Unit Testing, Java, Test Automation",Intermediate,Varies,https://www.udemy.com/topic/junit/
C014,Build Web Apps with ASP.NET Core,Microsoft Learn,"ASP.NET Core, C#, Entity Framework, Web API, LINQ",Intermediate,Self-paced,https://learn.microsoft.com/en-us/training/browse/?terms=ASP.NET%20Core
C015,Back End Development and APIs,freeCodeCamp,"Node.js, Node.js or Java, REST APIs, MongoDB, JSON, APIs",Intermediate,300 hours,https://www.freecodecamp.org/learn/back-end-development-and-apis/
C016,Django for Everybody,Coursera,"Django, Python, Web Development, SQL, REST APIs",Intermediate,4 months,https://www.coursera.org/specializations/django
C017,Flask Web Development,Udemy,"Flask, Python, REST APIs, Web Development",Intermediate,Varies,https://www.udemy.com/topic/flask/
C018,API Design and Fundamentals of Google Cloud's Apigee,Coursera,"REST, APIs, API Gateway, OpenAPI/Swagger, OAuth 2.0",Intermediate,10 hours,https://www.coursera.org/learn/api-design-apigee-gcp
C019,GraphQL Topic Hub,Udemy,"GraphQL, APIs, Node.js, JSON",Intermediate,Varies,https://www.udemy.com/topic/graphql/
C020,Software Design and Architecture Specialization,Coursera,"System Design, OOP, Microservices, Design Patterns",Advanced,5 months,https://www.coursera.org/specializations/software-design-architecture
C021,Responsive Web Design,freeCodeCamp,"HTML5, CSS3, HTML/CSS, Responsive Design, Bootstrap",Beginner,300 hours,https://www.freecodecamp.org/learn/responsive-web-design/
C022,Front End Development Libraries,freeCodeCamp,"React.js, Redux, jQuery, Bootstrap, JavaScript",Intermediate,300 hours,https://www.freecodecamp.org/learn/front-end-development-libraries/
C023,Learn React (Official Tutorial),React.dev,"React.js, JavaScript, Component Design, Redux",Intermediate,Self-paced,https://react.dev/learn
C024,TypeScript Handbook,TypeScript Official,"TypeScript, JavaScript, Type Systems",Intermediate,Self-paced,https://www.typescriptlang.org/docs/handbook/intro.html
C025,Webpack Topic Hub,Udemy,"Webpack, JavaScript, Build Tooling, Front End Development",Intermediate,Varies,https://www.udemy.com/topic/webpack/
C026,Data Visualization with D3.js,freeCodeCamp,"Data Visualization, JavaScript, D3.js, JSON",Intermediate,300 hours,https://www.freecodecamp.org/learn/data-visualization/
C027,PHP Topic Hub,Udemy,"PHP or Node.js, Web Development, MySQL",Beginner,Varies,https://www.udemy.com/topic/php/
C028,Intro to SQL,Kaggle Learn,"SQL, SQL Basics, Data Cleaning",Beginner,3 hours,https://www.kaggle.com/learn/intro-to-sql
C029,Advanced SQL,Kaggle Learn,"SQL, Advanced SQL, Data Modeling, Analytics",Intermediate,4 hours,https://www.kaggle.com/learn/advanced-sql
C030,Relational Database Certification,freeCodeCamp,"PostgreSQL, SQL, Git, Linux, Shell Scripting",Intermediate,300 hours,https://www.freecodecamp.org/learn/relational-database/
C031,MySQL Topic Hub,Udemy,"MySQL, SQL, Database Design, Query Optimization",Beginner,Varies,https://www.udemy.com/topic/mysql/
C032,SQL Server Fundamentals,Microsoft Learn,"SQL Server, SQL, T-SQL, Data Modeling",Intermediate,Self-paced,https://learn.microsoft.com/en-us/training/browse/?terms=SQL%20Server
C033,MongoDB Basics,MongoDB University,"MongoDB, SQL/NoSQL, JSON, Data Modeling",Beginner,Self-paced,https://learn.mongodb.com/
C034,Redis University,Redis,"Redis, Caching, SQL/NoSQL, System Design",Intermediate,Self-paced,https://redis.io/university/
C035,Google Data Analytics Professional Certificate,Coursera,"SQL, Excel, Data Cleaning, Data Visualization, Statistics, Tableau",Beginner,6 months,https://www.coursera.org/professional-certificates/google-data-analytics
C036,Pandas,Kaggle Learn,"Pandas, Python, Python (Pandas), Data Cleaning",Beginner,4 hours,https://www.kaggle.com/learn/pandas
C037,Data Cleaning,Kaggle Learn,"Data Cleaning, Pandas, Data Validation, Python",Intermediate,4 hours,https://www.kaggle.com/learn/data-cleaning
C038,Data Visualization (Seaborn),Kaggle Learn,"Data Visualization, Python, Pandas, Descriptive Statistics",Beginner,4 hours,https://www.kaggle.com/learn/data-visualization
