JOB_ID,JOB_TITLE,COMPANY,LOCATION,EXPERIENCE,REQUIRED_SKILLS,JOB_DESCRIPTION,SOURCE_URL
J001,Software Engineer,Infosys,"Bengaluru, Karnataka",2-5 years,"Java, Python, Data Structures, SQL, Git, REST APIs, Agile","Design, develop and maintain scalable software applications across the SDLC. Write clean, testable code, participate in design and code reviews, and collaborate with product and QA teams in an Agile environment.",https://www.naukri.com/jobs?keyword=Software+Engineer&location=Bengaluru
J002,Software Developer,Tata Consultancy Services,"Chennai, Tamil Nadu",1-4 years,"Java, Spring Boot, SQL, JavaScript, Git, Unit Testing","Build and enhance enterprise applications to client specifications. Translate functional requirements into working code, fix defects, write unit tests and support releases.",https://www.naukri.com/jobs?keyword=Software+Developer&location=Chennai
J003,Graduate Software Engineer,Accenture,"Bengaluru, Karnataka",0-1 years,"Programming Fundamentals, OOP, DSA, SQL, Any of Java/Python/C++, Problem Solving",Entry-level role for recent graduates. Structured training followed by placement on a delivery team building enterprise software. Strong CS fundamentals and willingness to learn required.,https://www.naukri.com/jobs?keyword=Graduate+Software+Engineer&location=Bengaluru
J004,Junior Software Developer,Zoho Corporation,"Chennai, Tamil Nadu",0-2 years,"Java, JavaScript, MySQL, HTML/CSS, Git, Debugging","Work under senior engineers to implement features and resolve bugs in production products. Learn the codebase, write maintainable code and contribute to code reviews.",https://www.naukri.com/jobs?keyword=Junior+Software+Developer&location=Chennai
J005,Python Developer,Wipro,"Pune, Maharashtra",2-5 years,"Python, Django, Flask, REST APIs, PostgreSQL, Pandas, Docker, Git","Develop backend services and data-processing pipelines in Python. Build and document REST APIs, optimise database queries and integrate third-party services.",https://www.naukri.com/jobs?keyword=Python+Developer&location=Pune
J006,Java Developer,HCLTech,"Noida, Uttar Pradesh",3-6 years,"Core Java, Spring Boot, Hibernate, Microservices, REST, Maven, JUnit, SQL","Build and maintain Java microservices for enterprise clients. Responsible for API design, performance tuning, unit testing and production support.",https://www.naukri.com/jobs?keyword=Java+Developer&location=Noida
J007,C++ Developer,Qualcomm,"Hyderabad, Telangana",3-7 years,"C++11/14/17, STL, Multithreading, Linux, Data Structures, Debugging (GDB), CMake","Develop high-performance, low-latency systems software. Work on memory-efficient C++ modules, profile and optimise hot paths, and debug complex concurrency issues.",https://www.naukri.com/jobs?keyword=C%2B%2B+Developer&location=Hyderabad
J008,.NET Developer,Cognizant,"Pune, Maharashtra",2-6 years,"C#, ASP.NET Core, Entity Framework, SQL Server, Web API, LINQ, Azure, Git","Build and maintain .NET web applications and APIs. Work across the stack with SQL Server backends, deploy to Azure and support existing enterprise systems.",https://www.naukri.com/jobs?keyword=.NET+Developer&location=Pune
J009,Backend Developer,Flipkart,"Bengaluru, Karnataka",2-5 years,"Java or Python, Microservices, REST APIs, SQL/NoSQL, Kafka, Redis, System Design, Docker","Own backend services powering high-traffic e-commerce flows. Design scalable APIs, handle caching and messaging, and ensure reliability at scale.",https://www.naukri.com/jobs?keyword=Backend+Developer&location=Bengaluru
J010,Frontend Developer,Swiggy,"Bengaluru, Karnataka",2-5 years,"JavaScript, React.js, TypeScript, HTML5, CSS3, Redux, Webpack, REST APIs","Build responsive, performant user interfaces for consumer-facing web apps. Translate designs into components, optimise load performance and ensure cross-browser support.",https://www.naukri.com/jobs?keyword=Frontend+Developer&location=Bengaluru
J011,Full Stack Developer,Freshworks,"Chennai, Tamil Nadu",3-6 years,"React.js, Node.js, JavaScript, TypeScript, MongoDB, PostgreSQL, REST APIs, AWS, Git","Work across frontend and backend to deliver complete features. Build UI components, write server-side APIs, model data and deploy to cloud infrastructure.",https://www.naukri.com/jobs?keyword=Full+Stack+Developer&location=Chennai
J012,Web Developer,Tech Mahindra,"Hyderabad, Telangana",1-4 years,"HTML5, CSS3, JavaScript, jQuery, Bootstrap, PHP or Node.js, MySQL, Responsive Design","Develop and maintain websites and web portals. Implement responsive layouts, integrate CMS and backend services, and handle browser compatibility and SEO basics.",https://www.naukri.com/jobs?keyword=Web+Developer&location=Hyderabad
J013,Application Developer,IBM India,"Bengaluru, Karnataka",3-6 years,"Java, Spring, SQL, REST APIs, Microservices, Linux, CI/CD, Agile","Develop and support business applications for enterprise clients. Gather requirements, build modules, integrate systems and manage application lifecycle.",https://www.naukri.com/jobs?keyword=Application+Developer&location=Bengaluru
J014,API Developer,Razorpay,"Bengaluru, Karnataka",2-5 years,"REST, GraphQL, Node.js or Java, OpenAPI/Swagger, OAuth 2.0, JSON, Postman, API Gateway","Design, build and document public and internal APIs. Focus on versioning, authentication, rate limiting, backward compatibility and developer experience.",https://www.naukri.com/jobs?keyword=API+Developer&location=Bengaluru
J015,Software Engineering Intern,Microsoft India,"Hyderabad, Telangana",0 years (Internship),"DSA, OOP, Any of C++/Java/Python, Git, Problem Solving","Structured internship on a product team. Own a scoped project end to end with mentorship, contribute code to real systems and present results at the end of the term.",https://www.naukri.com/jobs?keyword=Software+Engineering+Intern&location=Hyderabad
J016,Data Analyst,Deloitte India,"Gurugram, Haryana",1-4 years,"SQL, Excel (Advanced), Power BI or Tableau, Python (Pandas), Statistics, Data Cleaning","Turn raw business data into actionable insight. Write SQL queries, build dashboards, run ad-hoc analyses and present findings to business stakeholders.",https://www.naukri.com/jobs?keyword=Data+Analyst&location=Gurugram
J017,Junior Data Analyst,Capgemini,"Mumbai, Maharashtra",0-2 years,"SQL, Excel, Power BI, Basic Python, Descriptive Statistics, Data Visualization","Support the analytics team with reporting and data quality checks. Build recurring reports, clean datasets and assist with dashboard development.",https://www.naukri.com/jobs?keyword=Junior+Data+Analyst&location=Mumbai
J018,Business Intelligence Analyst,Genpact,"Bengaluru, Karnataka",2-5 years,"SQL, Power BI, Tableau, Data Modeling, DAX, ETL Concepts, Excel, Business Acumen","Translate business questions into BI solutions. Model data, build semantic layers, create self-service dashboards and define KPIs with business owners.",https://www.naukri.com/jobs?keyword=Business+Intelligence+Analyst&location=Bengaluru
J019,BI Developer,LTIMindtree,"Pune, Maharashtra",3-6 years,"SQL Server, SSIS, SSRS, Power BI, DAX, Data Warehousing, ETL, Star Schema","Build and maintain BI infrastructure: ETL pipelines, data warehouse tables and reporting layers. Optimise query performance and automate report delivery.",https://www.naukri.com/jobs?keyword=BI+Developer&location=Pune
